user_id,view,cart,remove_from_cart,purchase
247636984,1.0,,,
247779965,3.0,,,
247908912,1.0,,,
248464417,1.0,,,
248656129,1.0,1.0,,1.0
248692236,1.0,,,
248704072,,1.0,,
248712984,2.0,1.0,,
248735564,,1.0,,1.0
248746020,1.0,,,
248831252,3.0,,,
248834759,1.0,,,
249108814,1.0,,,
249113986,,1.0,,
249213189,4.0,,,
249268373,2.0,3.0,3.0,
249431155,,1.0,,1.0
249798012,2.0,,,
249838164,1.0,,,
250231602,,1.0,,
250333306,1.0,3.0,3.0,
250408567,2.0,,,
250420167,1.0,,,
250633197,2.0,1.0,,1.0
250651846,1.0,,,
250888294,1.0,,,
250943301,1.0,,,
251075892,1.0,,,
251211536,2.0,1.0,1.0,
251274871,1.0,,,
251396712,1.0,,,
251396901,1.0,,,
251640030,1.0,1.0,,1.0
251857595,1.0,,,
251873833,3.0,,,
252159209,1.0,,,
252249305,1.0,,,
252573150,4.0,,,
252837663,,1.0,,
252983302,1.0,,,
253116143,1.0,1.0,,
253217499,,,1.0,
253308604,1.0,2.0,,
253614196,2.0,1.0,,1.0
253686948,1.0,,,
253841939,1.0,,,
254079256,,,,1.0
254111895,1.0,,,
254176828,1.0,,,
254186750,1.0,,,
254256008,,1.0,,
254452781,1.0,,,
254530814,2.0,2.0,1.0,
254623223,1.0,,,
254704698,1.0,,,
255062414,2.0,2.0,,2.0
255062830,2.0,2.0,3.0,
255078104,1.0,,,
255238290,3.0,2.0,2.0,
255374911,1.0,1.0,,
255656991,1.0,,,
255863086,,,1.0,
256077540,1.0,,,
256239396,1.0,,,
256449129,1.0,,,
256690485,5.0,2.0,1.0,
257041123,,1.0,,
257353414,1.0,,,
257819062,,,1.0,
257907060,1.0,,,
258168519,1.0,,,
258200503,2.0,,,
258219430,1.0,,,
258903623,1.0,,,
258927307,1.0,1.0,,
258974350,2.0,,,
259132041,1.0,,,
259361908,2.0,1.0,1.0,
259446163,5.0,,,
259672011,1.0,,,
259848924,2.0,1.0,,
259952162,2.0,1.0,,1.0
259991699,,1.0,,
260213136,1.0,2.0,,
261087702,,1.0,,
261782219,3.0,,,
262181939,1.0,,,
262210598,1.0,,,
263308593,4.0,1.0,,
263362668,2.0,,,
263374367,3.0,1.0,,1.0
263609489,1.0,,,
263718802,1.0,,,
264131952,8.0,,,
264324618,1.0,,,
264457050,3.0,1.0,,
264863853,1.0,,,
265134957,1.0,,,
265437572,1.0,,,
265705167,1.0,,,
265882949,1.0,,,
266585625,1.0,,,
266667629,1.0,,,
267020380,2.0,,,
267216344,1.0,,,
267219465,,1.0,,1.0
267431949,3.0,1.0,1.0,
267432378,5.0,,,
267491525,1.0,,,
267710889,1.0,,,
268197995,1.0,,,
